isbn13,bk_title,bk_authors,categories,thumbnail,description,published_year
9780449149911,"Lost Boy, Lost Girl",Peter Straub,Fiction,http://books.google.com/books/content?id=YWrcm8VcvbYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The bizarre suicide of a woman and the disappearance of her teenage son, Mark, draws the boy's uncle, Timothy Underhill, back to his hometown of Millhaven, where his investigation uncovers a neighborhood haunted by the presence of a serial killer and by an abandoned house whose inhabitant, a lost girl, may have lured Mark into her mysterious domain. Reprint.",2004
9780449207338,Iberia,James Albert Michener,Literary Criticism,http://books.google.com/books/content?id=G6CXVQRHZswC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Photographs and the author's personal thoughts and recollections enhance this informal portrait of Spanish life and culture,1968
9780449210505,The Bridge at Andau,James A. Michener,Fiction,http://books.google.com/books/content?id=_Z6IPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Bridge at Andau is James A. Michener at his most gripping. His classic nonfiction account of a doomed uprising is as searing and unforgettable as any of his bestselling novels. For five brief, glorious days in the autumn of 1956, the Hungarian revolution gave its people a glimpse at a different kind of future--until, at four o'clock in the morning on a Sunday in November, the citizens of Budapest awoke to the shattering sound of Russian tanks ravaging their streets. The revolution was over. But freedom beckoned in the form of a small footbridge at Andau, on the Austrian border. By an accident of history it became, for a few harrowing weeks, one of the most important crossings in the world, as the soul of a nation fled across its unsteady planks. BONUS: This edition includes an excerpt from James A. Michener's Poland. Praise for The Bridge at Andau ""Precise, vivid . . . immeasurably stirring.""--The Atlantic Monthly ""Dramatic, chilling, enraging.""--San Francisco Chronicle ""Superb.""--Kirkus Reviews ""Highly recommended reading.""--Library Journal",1985
9780449213537,Drifters,James A. Michener,Fiction,http://books.google.com/books/content?id=DUFaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Eight wanderers, spanning three generations, find themselves thrown together in the Spanish resort town Torremolinos.",1986
9780449218471,Journey,James A. Michener,Fiction,http://books.google.com/books/content?id=-XQ2qiWJtrQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1897, four English aristocrats and their Irish servant hazard their lives along with thousands of others in a vain, arduous trek across the Arctic in search of Klondike gold. By the author of the best-seller, Mexico. Reprint.",1994
9780449221396,Driving Force,Dick Francis,Fiction,http://books.google.com/books/content?id=I2s25y1doC4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a hitchhiker picked up by one of his drivers is later found murdered, ex-jockey Freddie Croft, the owner of a profitable fleet of horse vans, is drawn into the mystery.",1993
9780449224465,Darker Than Amber,John D. MacDonald,Fiction,http://books.google.com/books/content?id=koOGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,McGee rescues a girl who was thrown off a Florida bridge.,1996
9780449227947,Asylum,John Saul,Fiction,http://books.google.com/books/content?id=okFLmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the conclusion to the serial thriller by the popular horror writer, newspaperman Oliver Metcalf finds the key to the grisly horrors afflicting the New England town of Blackstone in a mysterious package that arrives on his doorstep. Original.",1997
9780449904961,Indian Givers,J. McIver Weatherford,History,http://books.google.com/books/content?id=7NT8PGuSCEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Charts the wide-ranging and lasting impact of Native American culture on American and European society,1990
9780449908402,The Dragon Doesn't Live Here Anymore,Alan Cohen,"Body, Mind & Spirit",http://books.google.com/books/content?id=xHx0me5kLxwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The author of Dare to Be Yourself presents a series of illuminating essays designed to assist readers on a journey toward spiritual enlightenment and fulfilling self-discovery. Reprint.,1993
